Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Timestamp
-0.1373,0.2655,-0.2838,0.0006,0.0253,1.0013,18.7000000000116
1.062,0.7599,-0.1373,-0.0031,0.0491,0.9934,18.7999999999884
0.531,-0.1282,-0.0732,-0.0153,0.0302,0.9998,18.8999999999651
-0.0183,-0.3296,-0.2564,-0.0009,0.0238,0.9986,19
-1.7212,-0.3021,0.0824,-0.007,0.0256,0.9818,19.0999999999767
1.2177,0.2014,0.4486,-0.0095,0.029,0.9842,19.2000000000116
0.0732,0.6317,0.293,-0.0256,0.0336,1.0154,19.2999999999884
0.238,0.2106,0.2564,-0.015,0.0296,1.0102,19.3999999999651
0.1923,-0.2472,0.4486,-0.0186,0.0107,0.9629,19.5
1.1994,0.174,0.238,-0.0027,0.0253,1.0547,19.5999999999767
-1.941,0.9156,0.0732,-0.0089,-0.004,0.998,19.7000000000116
0.238,-0.3754,0.2197,-0.0177,-0.0015,0.9964,19.7999999999884
-0.3113,-0.7508,0.1831,-0.0122,0.015,1.0117,19.8999999999651
-1.6846,0.3571,0.293,-0.0058,0.0006,1.0172,20
0.2838,-0.824,0.5036,-0.0198,-0.0092,0.9449,20.0999999999767
0.65,0.238,0.2197,-0.0067,0.0046,1.0367,20.2000000000116
-1.0804,0.2289,0.1007,-0.015,-0.0052,1.0028,20.2999999999884
1.0895,-0.586,0.3845,-0.0192,-0.011,0.9818,20.3999999999651
-0.2289,-1.7579,-0.0732,-0.0113,0.0037,1.0245,20.5
-0.2289,1.0346,-0.0916,0.0131,-0.0211,1.0038,20.5999999999767
0.8972,-0.6958,0.1556,-0.0247,0.0012,0.9986,20.7000000000116
0.4944,-0.5127,-0.2472,-0.0052,-0.0052,1.034,20.7999999999884
-1.1078,0.1099,-0.3937,0.0055,-0.0247,0.9967,20.8999999999651
1.1994,1.1994,-0.119,0.0012,-0.0012,1.0172,21
-0.8881,-0.5768,-0.3754,-0.0253,-0.0079,1.0111,21.0999999999767
0.5951,-0.8972,-0.1007,-0.0055,-0.0003,0.9931,21.2000000000116
-0.2197,-0.9613,-0.0183,-0.0006,-0.0046,1.0004,21.2999999999884
-0.2472,0.8148,-0.0549,0.0085,0.0031,0.9949,21.3999999999651
-1.0712,0.4761,-0.1831,-0.0119,-0.0015,0.9943,21.5
-0.4761,-0.5676,-0.2106,-0.0192,0.0009,1.0111,21.5999999999767
0.5036,-1.2543,-0.3937,0.0009,0.0058,0.9864,21.7000000000116
-0.943,0.7416,-0.0732,0.0085,-0.0043,1.0062,21.7999999999884
-0.1007,0.3662,-0.3479,-0.0119,0.0003,0.9815,21.8999999999651
0.2838,-0.6958,-0.1923,-0.007,0.011,0.9735,22
-0.6958,0.65,-0.0916,0.0055,0.0043,0.9995,22.0999999999767
-0.0458,0.8148,-0.5768,-0.0089,-0.0067,1.0025,22.2000000000116
0.4578,-0.2655,-0.1282,-0.014,0.0015,0.9787,22.2999999999884
-0.5585,0.3388,-0.293,-0.0073,-0.0046,1.0044,22.3999999999651
