Yaw,Pitch,Raw,Timestamp
327.4,0.41,-1.19,269.201000000001
327.37,0.37,-1.15,269.300999999978
327.39,0.37,-1.16,269.401000000013
327.4,0.37,-1.19,269.500999999989
327.39,0.23,-1.12,269.600999999966
327.41,0.32,-1.04,269.701000000001
327.41,0.39,-1.17,269.800999999978
327.39,0.36,-1.17,269.901000000013
327.39,0.54,-1.12,270.000999999989
327.4,0.56,-1.15,270.100999999966
327.4,0.56,-1.15,270.201000000001
327.44,0.57,-1.12,270.300999999978
327.48,0.64,-1.28,270.401000000013
327.54,0.68,-1.12,270.500999999989
327.63,0.9,-1.17,270.600999999966
327.67,1.19,-1.13,270.701000000001
327.76,0.95,-0.91,270.800999999978
327.84,0.83,-0.92,270.901000000013
327.9,0.48,-1.03,271.000999999989
327.94,0.37,-0.86,271.100999999966
327.91,0.73,-0.55,271.201000000001
327.94,0.56,-0.73,271.300999999978
327.99,0.42,-0.68,271.401000000013
327.9,0.46,-0.66,271.500999999989
327.71,0.56,-0.45,271.600999999966
327.57,0.64,-0.58,271.701000000001
327.45,0.65,-0.71,271.800999999978
327.44,0.68,-0.6,271.901000000013
327.58,0.55,-0.62,272.000999999989
327.75,0.51,-0.75,272.100999999966
327.93,0.4,-0.68,272.201000000001
328.13,0.33,-0.69,272.300999999978
328.29,0.27,-0.73,272.401000000013
328.44,0.23,-0.64,272.500999999989
328.65,0.24,-0.65,272.600999999966
328.81,0.27,-0.69,272.701000000001
328.97,0.33,-0.58,272.800999999978
329.17,0.31,-0.67,272.901000000013
329.26,0.34,-0.62,273.000999999989
329.34,0.39,-0.38,273.100999999966
329.31,0.25,-0.67,273.201000000001
329.17,0.27,-0.55,273.300999999978
328.93,0.28,-0.26,273.401000000013
328.59,0.22,-0.3,273.500999999989
328.31,0.42,-0.57,273.600999999966
327.91,0.46,-0.54,273.701000000001
327.48,0.41,-0.35,273.800999999978
327.05,0.65,-0.37,273.901000000013
326.63,0.6,-0.52,274.000999999989
326.17,0.59,-0.57,274.100999999966
325.67,0.69,-0.17,274.201000000001
325.32,0.56,-0.29,274.300999999978
324.94,0.58,-0.69,274.401000000013
324.53,0.39,-0.45,274.500999999989
324.16,0.23,-0.43,274.600999999966
323.85,0.03,-0.49,274.701000000001
323.59,-0.12,-0.52,274.800999999978
323.34,-0.01,-0.65,274.901000000013
323.15,-0.12,-0.74,275.000999999989
322.98,0.03,-0.63,275.100999999966
322.89,-0.02,-0.85,275.201000000001
322.8,0,-0.9,275.300999999978
322.72,0.19,-0.79,275.401000000013
322.74,0.21,-1,275.500999999989
322.77,0.29,-0.94,275.600999999966
322.83,0.35,-0.99,275.701000000001
322.96,0.44,-1.06,275.800999999978
323.17,0.38,-1,275.901000000013
323.45,0.51,-1.16,276.000999999989
323.76,0.49,-1.18,276.100999999966
324.03,0.55,-1.1,276.201000000001
324.32,0.67,-1.18,276.300999999978
324.62,0.63,-1.2,276.401000000013
324.91,0.66,-1.16,276.500999999989
325.23,0.49,-1.36,276.600999999966
325.54,0.53,-1.31,276.701000000001
325.83,0.56,-1.22,276.800999999978
326.14,0.51,-1.26,276.901000000013
326.47,0.56,-1.26,277.000999999989
326.78,0.47,-1.26,277.100999999966
327.1,0.49,-1.29,277.201000000001
327.42,0.58,-1.17,277.300999999978
327.8,0.52,-1.13,277.401000000013
328.21,0.39,-1.13,277.500999999989
328.56,0.44,-1.09,277.600999999966
328.91,0.48,-1.1,277.701000000001
329.29,0.45,-1.06,277.800999999978
329.67,0.28,-1.01,277.901000000013
330.07,0.33,-1.02,278.000999999989
330.43,0.48,-1.1,278.100999999966
330.74,0.43,-1.1,278.201000000001
331.14,0.43,-1.08,278.300999999978
331.52,0.48,-0.93,278.401000000013
331.89,0.4,-1.05,278.500999999989
332.28,0.84,-1.23,278.600999999966
332.61,0.77,-1.16,278.701000000001
332.95,0.78,-0.91,278.800999999978
333.29,0.85,-0.79,278.901000000013
333.52,0.81,-0.7,279.000999999989
333.62,0.83,-0.69,279.100999999966
333.6,0.81,-0.54,279.201000000001
333.36,0.71,-0.29,279.300999999978
332.9,0.66,-0.23,279.401000000013
332.36,0.63,-0.28,279.500999999989
331.74,0.45,-0.26,279.600999999966
331.13,0.4,-0.18,279.701000000001
330.58,0.45,-0.38,279.800999999978
329.98,0.39,-0.51,279.901000000013
329.38,0.5,-0.41,280.000999999989
328.85,0.52,-0.4,280.100999999966
328.38,0.36,-0.6,280.201000000001
327.94,0.58,-0.7,280.300999999978
327.57,0.44,-0.65,280.401000000013
327.31,0.24,-0.64,280.500999999989
327.05,0.35,-0.68,280.600999999966
326.78,0.05,-0.75,280.701000000001
326.53,0.26,-0.84,280.800999999978
326.31,0.34,-0.77,280.901000000013
326.17,0.05,-0.72,281.000999999989
326,0.34,-0.79,281.100999999966
325.86,0.29,-0.83,281.201000000001
325.73,0.15,-0.85,281.300999999978
325.57,0.3,-0.85,281.401000000013
325.43,0.18,-0.83,281.500999999989
325.29,0.2,-0.83,281.600999999966
325.16,0.35,-0.88,281.701000000001
325.05,0.31,-0.91,281.800999999978
324.98,0.28,-0.92,281.901000000013
324.92,0.39,-0.91,282.000999999989
324.91,0.23,-0.98,282.100999999966
324.9,0.32,-1.01,282.201000000001
324.88,0.35,-0.94,282.300999999978
324.91,0.19,-1.01,282.401000000013
324.97,0.23,-1.07,282.500999999989
325.01,0.19,-1,282.600999999966
325.08,0.22,-0.96,282.701000000001
325.15,0.33,-1.06,282.800999999978
325.19,0.19,-1.08,282.901000000013
325.25,0.2,-1.07,283.000999999989
325.31,0.27,-1.09,283.100999999966
325.38,0.17,-1.08,283.201000000001
325.47,0.36,-1.18,283.300999999978
325.57,0.43,-1.22,283.401000000013
325.7,0.34,-1.21,283.500999999989
325.86,0.55,-1.17,283.600999999966
326.01,0.46,-1.22,283.701000000001
326.19,0.39,-1.19,283.800999999978
326.37,0.44,-1.19,283.901000000013
326.51,0.27,-1.2,284.000999999989
326.66,0.3,-1.2,284.100999999966
326.81,0.36,-1.26,284.201000000001
326.94,0.2,-1.22,284.300999999978
327.1,0.26,-1.24,284.401000000013
327.25,0.29,-1.3,284.500999999989
327.36,0.3,-1.35,284.600999999966
327.48,0.39,-1.33,284.701000000001
327.58,0.43,-1.42,284.800999999978
327.64,0.5,-1.23,284.901000000013
327.72,0.56,-1.21,285.000999999989
327.79,0.61,-1.45,285.100999999966
327.87,0.6,-1.45,285.201000000001
327.97,0.59,-1.26,285.300999999978
328.07,0.74,-1.22,285.401000000013
328.11,0.87,-1.36,285.500999999989
328.14,0.64,-1.65,285.600999999966
328.26,0.46,-1.55,285.701000000001
328.27,0.43,-1.01,285.800999999978
328.24,0.1,-1,285.901000000013
328.38,0.56,-1.56,286.000999999989
328.45,0.41,-1.95,286.100999999966
328.52,0.09,-1.27,286.201000000001
328.76,0.42,-1.01,286.300999999978
329.03,0.56,-1.52,286.401000000013
329.39,0.41,-1.53,286.500999999989
329.9,0.58,-1.36,286.600999999966
330.53,0.66,-1.54,286.701000000001
331.25,0.49,-1.71,286.800999999978
332.04,0.43,-1.37,286.901000000013
332.98,0.35,-1.31,287.000999999989
333.98,0.22,-1.46,287.100999999966
335.07,0.04,-1.46,287.201000000001
336.15,0.17,-1.28,287.300999999978
337.23,0.05,-1.11,287.401000000013
338.37,-0.01,-1.09,287.500999999989
339.53,0.01,-1.08,287.600999999966
340.73,0.15,-0.77,287.701000000001
341.97,0.12,-0.59,287.800999999978
343.29,0.2,-0.58,287.901000000013
344.63,0.3,-0.53,288.000999999989
346.03,0.26,-0.28,288.100999999966
347.49,0.24,-0.17,288.201000000001
349.01,0.23,-0.15,288.300999999978
350.57,0.21,0.05,288.401000000013
352.15,0.11,0.12,288.500999999989
353.77,0.17,0.11,288.600999999966
355.44,0.09,0.18,288.701000000001
357.17,0.08,0.26,288.800999999978
358.95,0.04,0.33,288.901000000013
0.73,0,0.39,289.000999999989
2.57,0.06,0.4,289.100999999966
4.42,-0.01,0.38,289.201000000001
6.25,0.02,0.49,289.300999999978
8.12,-0.02,0.6,289.401000000013
9.99,0.05,0.3,289.500999999989
11.89,0.33,0.21,289.600999999966
13.61,0.22,0,289.701000000001
15.58,0.3,0.04,289.800999999978
17.54,0.34,-0.04,289.901000000013
19.24,0.75,0.22,290.000999999989
21.3,0.29,-0.32,290.100999999966
23.27,0.06,-0.58,290.201000000001
25.39,1.14,-0.81,290.300999999978
27.37,0.45,-1.46,290.401000000013
29.34,0.29,-1.09,290.500999999989
31.41,1.17,-0.63,290.600999999966
33.55,0.99,-0.92,290.701000000001
35.71,0.8,-1.63,290.800999999978
37.75,0.95,-1.67,290.901000000013
39.85,0.82,-1.21,291.000999999989
41.9,1,-0.76,291.100999999966
43.79,0.79,-0.72,291.201000000001
45.55,0.61,-0.79,291.300999999978
47.36,0.78,-0.92,291.401000000013
49.1,0.52,-0.86,291.500999999989
50.77,0.53,-0.73,291.600999999966
52.33,0.61,-0.67,291.701000000001
53.77,0.58,-0.45,291.800999999978
55.08,0.48,-0.39,291.901000000013
56.06,0.64,-0.33,292.000999999989
56.73,0.67,-0.03,292.100999999966
57.22,0.8,0.3,292.201000000001
57.56,0.84,0.13,292.300999999978
57.76,1.05,0.17,292.401000000013
57.92,1.21,0.33,292.500999999989
58.13,1.12,0.58,292.600999999966
58.29,1.22,0.84,292.701000000001
58.39,1.26,0.7,292.800999999978
58.35,1.08,0.72,292.901000000013
58.3,0.84,0.62,293.000999999989
58.26,0.72,0.72,293.100999999966
58.21,0.63,1,293.201000000001
58.18,0.6,0.88,293.300999999978
58.14,1.07,0.63,293.401000000013
58.09,0.94,0.6,293.500999999989
58.07,0.18,0.71,293.600999999966
57.88,0.77,0.72,293.701000000001
57.71,0.85,0.64,293.800999999978
57.64,0.91,0.68,293.901000000013
57.61,0.98,0.56,294.000999999989
57.55,0.45,0.57,294.100999999966
57.41,0.84,0.45,294.201000000001
57.18,0.92,0.6,294.300999999978
57.08,0.48,0.44,294.401000000013
56.99,0.42,0.69,294.500999999989
56.85,0.49,0.63,294.600999999966
56.74,0.7,0.35,294.701000000001
56.69,0.72,0.26,294.800999999978
56.62,0.64,0.33,294.901000000013
56.49,0.69,0.61,295.000999999989
56.39,0.68,0.51,295.100999999966
56.25,0.65,0.44,295.201000000001
56.11,0.56,0.57,295.300999999978
55.95,0.49,0.72,295.401000000013
55.81,0.5,0.52,295.500999999989
55.73,0.58,0.45,295.600999999966
55.61,0.54,0.59,295.701000000001
55.48,0.37,0.54,295.800999999978
55.46,0.48,0.22,295.901000000013
55.46,0.11,0.3,296.000999999989
55.39,0.44,0.51,296.100999999966
55.35,1.07,0.37,296.201000000001
55.43,0.86,0.36,296.300999999978
55.55,0.11,0.4,296.401000000013
55.57,0.18,0.54,296.500999999989
55.49,0.67,0.55,296.600999999966
55.49,0.81,0.61,296.701000000001
55.57,0.67,0.57,296.800999999978
55.65,0.56,0.41,296.901000000013
55.71,0.62,0.43,297.000999999989
55.76,0.8,0.54,297.100999999966
55.79,0.92,0.36,297.201000000001
55.94,0.87,0.23,297.300999999978
56.02,0.56,0.42,297.401000000013
56.03,0.67,0.48,297.500999999989
56.18,1.07,0.35,297.600999999966
56.43,0.65,0.19,297.701000000001
56.67,0.54,0.54,297.800999999978
56.89,0.67,0.31,297.901000000013
57.01,0.6,0.22,298.000999999989
57.17,0.59,0.33,298.100999999966
57.35,0.55,0.6,298.201000000001
57.49,0.79,0.44,298.300999999978
57.65,0.77,0.19,298.401000000013
57.79,0.56,-0.07,298.500999999989
57.84,0.49,0.32,298.600999999966
57.99,0.12,0.59,298.701000000001
58.1,0.13,0.53,298.800999999978
58.19,0.43,0.44,298.901000000013
58.34,-0.02,0.13,299.000999999989
58.36,0.17,0.43,299.100999999966
58.39,0.24,0.71,299.201000000001
58.45,-0.05,0.81,299.300999999978
58.53,-0.07,0.64,299.401000000013
58.48,0.11,0.71,299.500999999989
58.44,0.01,0.72,299.600999999966
58.35,0.4,0.78,299.701000000001
58.28,0.42,1.02,299.800999999978
58.26,0.4,0.8,299.901000000013
58.11,0.25,0.39,300.000999999989
58,0.39,0.63,300.100999999966
57.82,0.38,0.98,300.201000000001
57.76,-0.13,0.81,300.300999999978
57.75,0.28,0.59,300.401000000013
57.64,0.21,0.66,300.500999999989
57.5,0.78,0.47,300.600999999966
57.39,0.57,0.24,300.701000000001
57.45,0.36,0.59,300.800999999978
57.35,0.15,0.72,300.901000000013
57.16,0.51,0.32,301.000999999989
57.12,0.8,0.26,301.100999999966
57.06,0.22,0.15,301.201000000001
57.02,0.17,0.61,301.300999999978
56.92,0.52,0.37,301.401000000013
56.83,0.67,0.46,301.500999999989
56.84,0.68,0.35,301.600999999966
